node,model_slug,model_label,variant_key,variant_label,tp_size,successful_requests,failed_requests,benchmark_duration_s,request_throughput_rps,output_token_throughput_tps,peak_concurrent_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,bench_path
node196,qwen3_4b,Qwen3-4B,dockerbe_sync_output,DockerBE Sync Output,1,700.0,300.0,103.45,6.77,1059.34,61.0,266.92,33.16,5435.71,11.11,9.95,35.19,10.55,9.68,21.47,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_sync_output/5_host_dockerbe_tp1_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_hybrid_shm,DockerBE Hybrid SHM,1,700.0,300.0,103.17,6.78,1062.14,61.0,263.86,32.01,5423.93,10.43,9.31,34.34,9.89,9.09,20.24,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_hybrid_shm/5_host_dockerbe_tp1_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_single_visible_gpu,DockerBE Single GPU/Node,1,699.0,301.0,105.43,6.63,1039.33,76.0,473.65,74.87,7585.77,19.38,16.89,72.32,18.07,15.85,49.93,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_single_visible_gpu/8_host_dockerbe_single_visible_gpu_tp1_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_full_shm,DockerBE Full SHM,1,700.0,300.0,103.17,6.79,1062.18,61.0,265.96,31.17,5467.58,10.45,9.32,34.48,9.9,9.09,20.26,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_full_shm/5_host_dockerbe_tp1_bench.txt
node196,qwen3_4b,Qwen3-4B,baseline,Baseline Docker+MP,2,700.0,300.0,102.02,6.86,1074.09,66.0,314.49,25.65,6137.59,8.36,7.12,34.2,7.79,6.99,18.61,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/baseline/4_docker_mp_tp2_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_sync_output,DockerBE Sync Output,2,700.0,300.0,102.36,6.84,1070.55,67.0,289.16,27.49,5778.48,8.89,7.75,34.47,8.35,7.55,20.87,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_sync_output/6_host_dockerbe_tp2_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_hybrid_shm,DockerBE Hybrid SHM,2,700.0,300.0,102.11,6.86,1073.24,66.0,321.76,25.83,6242.27,8.39,7.17,34.54,7.84,7.02,18.73,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_hybrid_shm/6_host_dockerbe_tp2_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_single_visible_gpu,DockerBE Single GPU/Node,2,700.0,300.0,105.91,6.61,1034.64,75.0,456.97,91.52,6651.02,27.08,24.22,104.91,25.23,21.64,80.94,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_single_visible_gpu/9_host_dockerbe_single_visible_gpu_tp2_bench.txt
node196,qwen3_4b,Qwen3-4B,dockerbe_full_shm,DockerBE Full SHM,2,700.0,300.0,102.1,6.86,1073.28,66.0,319.76,25.66,6203.98,8.43,7.17,34.54,7.84,7.02,18.69,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_4b/dockerbe_full_shm/6_host_dockerbe_tp2_bench.txt
node196,qwen3_8b,Qwen3-8B,baseline,Baseline Docker+MP,2,353.0,147.0,53.45,6.6,1060.99,68.0,557.46,41.48,6454.81,13.54,10.15,98.55,12.07,9.5,35.68,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node196/qwen3_8b/baseline/4_docker_mp_tp2_bench.txt
